Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
282,Victim:/AS 205886 (asn-121NET)<br> Attacker:BR/AS 206971 (BEDHOSTING),206971,No Result,[object Object],-,-,Ongoing Possible Hijack,143.14.79.0/24,50,low,,143.14.79.0/24,1,1769385085650,205886
283,Victim:GB/AS 3170 (VELOXSERV)<br> Attacker:SA/AS 213535 (YOTTASRC),213535,No Result,[object Object],-,-,Ongoing Possible Hijack,152.89.253.0/24,40,middle,3170 is Cloud|IDC|CDN or top content provider.,152.89.253.0/24,1,1769436340340,3170
284,Victim:US/AS 401322 (LUCK-NETO-01)<br> Attacker:HK/AS 9304 (HUTCHISON-AS-AP),9304,No Result,[object Object],-,-,Ongoing Possible Hijack,194.60.90.0/24,15.25,low,,194.60.90.0/24,1,1769410702490,401322
285,Victim:US/AS 395839 (HOSTKEY-USA)<br> Attacker:FR/AS 16276 (OVH),16276,No Result,[object Object],-,-,Ongoing Possible Hijack,157.254.187.0/24,16.18,middle,395839 is Cloud|IDC|CDN or top content provider.,157.254.187.0/24,1,1769413198970,395839
286,Victim:US/AS 401322 (LUCK-NETO-01)<br> Attacker:US/AS 21859 (ZEN-ECN),21859,Low Possibility,[object Object],-,-,Ongoing Possible Hijack,64.40.150.0/24,5.77,low,,64.40.150.0/24,1,1769410702490,401322
287,Victim:US/AS 401322 (LUCK-NETO-01)<br> Attacker:US/AS 834 (IPXO),834,Not Hijacking,[object Object],-,-,Ongoing Possible Hijack,46.236.192.0/24,12.96,low,,46.236.192.0/24,1,1769410702490,401322
288,Victim:US/AS 834 (IPXO)<br> Attacker:GB/AS 213734 (ZERODESK-LTD),213734,No Result,[object Object],-,-,Ongoing Possible Hijack,5.199.2.0/24,91.67,low,,5.199.2.0/24,1,1769352855240,834
289,Victim:ES/AS 202673 (OHZ)<br> Attacker:US/AS 36530 (FUTURE-LAIN),36530,Low Possibility,[object Object],-,-,Ongoing Possible Hijack,155.117.197.0/24,10.34,low,,155.117.197.0/24,1,1769391862300,202673
290,Victim:US/AS 63199 (CDSC-AS1)<br> Attacker:US/AS 61317 (ASDETUK),61317,Not Hijacking,[object Object],-,-,Ongoing Possible Hijack,82.152.10.0/24,93.55,low,,82.152.10.0/24,1,1769431900060,63199
291,Victim:/AS 202294 ()<br> Attacker:/AS 205591 (Layer7),205591,Not done,[object Object],-,-,Ongoing Possible Hijack,2a0f:6287:c000::/36,10.71,middle,202294 is Cloud|IDC|CDN or top content provider.,2a0f:6287:c000::/36,1,1769319579950,202294
292,Victim:IR/AS 198154 (parsabr)<br> Attacker:DE/AS 198584 (PIO-Hosting),198584,No Result,[object Object],-,-,Ongoing Possible Hijack,85.133.194.0/24,89.47,low,,85.133.194.0/24,1,1769421386940,198154
293,Victim:/AS 205886 (asn-121NET)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],-,-,Ongoing Possible Hijack,23.27.226.0/24,86.84,low,,23.27.226.0/24,1,1769425253630,205886
294,Victim:RO/AS 25198 (ZetServers)<br> Attacker:HK/AS 133153 (YSZ-AS-AP),133153,Not Hijacking,[object Object],-,-,Ongoing Possible Hijack,162.141.152.0/24,94.44,middle,25198 is Cloud|IDC|CDN or top content provider.,162.141.152.0/24,1,1769439705690,25198
295,Victim:BR/AS 28358 ()<br> Attacker:GB/AS 207461 (host-industry),207461,Low Possibility,[object Object],-,-,Ongoing Possible Hijack,45.9.119.0/24,68.18,low,,45.9.119.0/24,1,1769441953940,28358
296,Victim:SE/AS 214640 (HOSTUP)<br> Attacker:US/AS 26286 (MYSTICDEVIO),26286,Low Possibility,[object Object],-,-,Ongoing Possible Hijack,64.112.124.0/24,18.33,high,13 websites in the prefix.,64.112.124.0/24,1,1769408064870,214640
297,Victim:US/AS 214025 (ORG-SDL28-RIPE)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],-,-,Ongoing Possible Hijack,172.120.140.0/24,27.78,middle,1 websites in the prefix.,172.120.140.0/24;172.252.200.0/24,2,1769341657440,214025
